Unnamed: 0,T,U,Сl,aoi,I
2016-08-29 12:00:00,14,44,45,7.60054681438704,905.581666666667
2016-08-29 13:00:00,15,42,45,16.4975657890474,968.538333333334
2016-08-29 14:00:00,15,42,45,30.2436673393353,759.778333333333
2016-08-29 15:00:00,16,36,20,44.5317069742844,620.841666666667
2016-08-29 16:00:00,16,39,20,58.9331379070562,400.521666666666
2016-08-29 17:00:00,15,42,20,73.3316682101747,207.876666666666
2016-08-30 07:00:00,11,58,20,73.4255513858796,61.615
2016-08-30 08:00:00,10,82,75,59.023384844255,67.1616666666667
2016-08-30 09:00:00,9,94,75,44.6264521226346,64.895
2016-08-30 11:00:00,14,72,75,16.683036342915,156.631666666667
2016-08-30 13:00:00,19,56,20,16.683036342915,831.311666666667
2016-08-30 15:00:00,23,38,45,44.6264521226346,328.253333333333
2016-08-30 16:00:00,23,38,45,59.023384844255,284.831666666667
2016-08-30 17:00:00,23,38,20,73.4255513858796,243.456666666667
2016-08-31 09:00:00,19,49,75,44.7241805642706,297.31
2016-08-31 10:00:00,19,56,75,30.478916374498,203.036666666667
2016-08-31 11:00:00,15,88,75,16.8759765867125,266.346666666666
2016-08-31 13:00:00,17,83,75,16.8759765867125,705.266666666667
2016-08-31 14:00:00,17,88,75,30.478916374498,201.371666666667
2016-08-31 15:00:00,16,94,75,44.7241805642706,220.498333333333
2016-08-31 16:00:00,16,94,75,59.1156262524825,69.2316666666667
2016-08-31 17:00:00,16,94,75,73.5207327705258,67.2783333333333
2016-09-01 07:00:00,9,94,45,73.6171921764823,160.7
2016-09-01 13:00:00,11,88,99,17.0762302093305,127.936666666667
2016-09-01 14:00:00,11,72,99,30.6034435366737,163.966666666667
2016-09-01 15:00:00,10,88,99,44.8248910787829,131.49
2016-09-01 16:00:00,11,82,99,59.2098531796167,98.8183333333334
2016-09-01 17:00:00,11,77,99,73.6171921764823,59.4383333333333
2016-09-02 07:00:00,9,94,99,73.7149082893548,62.3566666666667
2016-09-02 08:00:00,9,94,99,59.3060546061388,82.195
2016-09-12 11:00:00,13,63,45,19.7077995797835,507.908333333333
2016-09-12 12:00:00,14,55,45,13.063589038737,636.268333333333
2016-09-12 13:00:00,15,51,45,19.7077995797835,536.006666666667
2016-09-12 17:00:00,13,63,45,74.7557025675993,35.1666666666667
2016-09-12 18:00:00,12,67,20,89.163978433921,2.01
2016-09-13 07:00:00,13,88,75,74.8655188155728,168.208333333333
2016-09-13 09:00:00,12,82,75,46.2606533880699,261.693333333333
2016-09-13 10:00:00,13,77,75,32.4437771542894,386.131666666666
2016-09-13 11:00:00,12,82,75,19.9805541710941,394.095
2016-09-13 12:00:00,11,82,75,13.4643300829963,666.051666666667
2016-09-13 13:00:00,13,72,75,19.9805541710941,463.951666666667
2016-09-13 14:00:00,13,72,75,32.4437771542894,185.088333333333
2016-09-13 15:00:00,13,72,75,46.2606533880699,105.433333333333
2016-09-13 16:00:00,13,67,75,60.489350686773,165.393333333333
2016-09-13 17:00:00,13,67,0,74.8655188155728,59.8633333333334
2016-09-13 18:00:00,11,82,20,89.274869526968,2.38333333333333
2016-09-14 07:00:00,8,100,99,74.9762505073625,62.3783333333333
2016-09-14 08:00:00,9,94,99,60.6076294475373,90.5333333333334
2016-09-14 09:00:00,10,82,99,46.3983834395235,131.888333333333
2016-09-14 10:00:00,9,94,99,32.6242104730382,156.818333333333
2016-09-14 11:00:00,10,82,99,20.2579325596151,137.2
2016-09-14 12:00:00,10,76,99,13.8658470167867,274.091666666667
2016-09-14 13:00:00,12,67,99,20.2579325596151,172.223333333333
2016-09-14 14:00:00,11,72,99,32.6242104730382,207.171666666667
2016-09-14 15:00:00,9,94,99,46.3983834395235,233.355
2016-09-14 16:00:00,10,88,75,60.6076294475373,41.9983333333334
2016-09-14 17:00:00,10,82,75,74.9762505073625,11.885
2016-09-14 18:00:00,9,94,99,89.386008170006,1.97833333333333
2016-09-15 07:00:00,8,93,99,75.0878624631297,108.37
2016-09-15 08:00:00,8,100,99,60.727551002694,124.871666666667
2016-09-15 09:00:00,9,94,99,46.5387035015639,134.113333333333
2016-09-15 10:00:00,9,94,99,32.80843817274,173.54
2016-09-15 11:00:00,8,100,99,20.5397077755421,268.15
2016-09-15 12:00:00,10,88,75,14.2680208619754,422.345
2016-09-15 13:00:00,10,88,75,20.5397077755421,457.44
2016-09-15 14:00:00,11,82,75,32.80843817274,258.513333333333
2016-09-15 15:00:00,10,94,75,46.5387035015639,111.441666666667
2016-09-15 16:00:00,10,94,75,60.727551002694,68.815
2016-09-15 17:00:00,10,94,75,75.0878624631297,26.7016666666666
2016-09-15 18:00:00,10,88,75,89.4973565525416,1.28333333333333
2016-09-16 07:00:00,9,94,99,75.2003185514129,131.228333333333
2016-09-16 08:00:00,10,88,75,60.8490757769152,179.428333333333
2016-09-16 09:00:00,10,88,75,46.6815599843272,196.526666666667
2016-09-16 10:00:00,10,94,75,32.9963618444847,243.816666666667
2016-09-16 11:00:00,11,82,75,20.8256531788618,313.7
2016-09-16 12:00:00,10,88,75,14.6707324457722,157.123333333333
2016-09-16 13:00:00,12,77,75,20.8256531788618,661.668333333333
2016-09-16 14:00:00,11,82,75,32.9963618444847,133.465
2016-09-16 15:00:00,11,77,75,46.6815599843272,150.2
2016-09-16 16:00:00,11,88,75,60.8490757769152,70.83
2016-09-16 17:00:00,11,88,75,75.2003185514129,24.025
2016-09-16 18:00:00,10,82,75,89.6088767273871,1.24
2016-09-17 07:00:00,9,94,75,75.313581712694,100.616666666667
2016-09-17 11:00:00,9,94,75,21.1155428721198,103.265
2016-09-17 12:00:00,10,94,75,15.0738624360437,207.606666666667
2016-09-17 14:00:00,11,82,45,33.1878787043466,403.231666666667
2016-09-17 15:00:00,10,82,45,46.8268961856879,469.238333333333
2016-09-17 16:00:00,11,77,45,60.9721623110939,239.386666666666
2016-09-17 17:00:00,10,82,45,75.313581712694,22.87
2016-09-18 07:00:00,8,93,45,75.4276139842192,70.7833333333334
2016-09-18 08:00:00,9,87,75,61.0967672987547,67.5633333333334
2016-09-18 09:00:00,9,87,75,46.9746523698121,69.7433333333334
2016-09-18 10:00:00,8,100,99,33.3828818232141,108.625
2016-09-18 11:00:00,10,82,99,21.4091520647174,133.52
2016-09-18 12:00:00,10,82,99,15.4772913766738,242.273333333333
2016-09-18 13:00:00,10,82,99,21.4091520647174,128.678333333333
2016-09-18 14:00:00,11,77,75,33.3828818232141,154.946666666667
